Date,AQI,Humidity,Temperature,TomatoPrice,OnionPrice,Fatigue
2026-01-01,102,68,27,32,28,4
2026-01-02,115,70,26,34,29,5
2026-01-03,98,65,28,30,26,3
2026-01-04,125,72,29,36,31,6
2026-01-05,135,75,30,38,33,7
2026-01-06,142,76,31,40,35,7
2026-01-07,130,73,29,37,32,6
2026-01-08,120,71,28,35,30,5
2026-01-09,115,69,27,34,29,5
2026-01-10,140,74,30,39,34,7
2026-01-11,150,77,31,42,36,8
2026-01-12,155,79,32,44,37,8
2026-01-13,160,80,33,46,39,9
2026-01-14,145,76,30,41,35,7
2026-01-15,130,73,29,37,32,6
2026-01-16,120,70,28,35,30,5
2026-01-17,110,68,27,33,28,4
2026-01-18,105,67,26,31,27,4
2026-01-19,115,69,27,34,29,5
2026-01-20,125,72,29,36,31,6
2026-01-21,135,75,30,38,33,7
2026-01-22,145,77,31,41,35,7
2026-01-23,150,78,31,42,36,8
2026-01-24,155,79,32,43,37,8
2026-01-25,160,80,33,45,38,9
2026-01-26,145,76,30,40,35,7
2026-01-27,130,73,29,37,32,6
2026-01-28,120,71,28,35,30,5
2026-01-29,110,69,27,33,28,4
2026-01-30,100,66,26,30,26,3
